source_id,split,variant_id,degradation,severity,severity_name,is_degraded,width,height,aspect_ratio,mean_brightness,brightness_std,dark_ratio,bright_ratio,black_clip_ratio,white_clip_ratio,p01,p05,p50,p95,p99,contrast_range,dynamic_range,laplacian_variance,mean_gradient,std_gradient,mean_saturation,high_saturation_ratio,low_saturation_ratio,noise_estimate,entropy,texture_variation
99479f61ef2931ea,train,99479f61ef2931ea__clean,none,0,none,0,427.0,640.0,0.6671875,120.12901419789227,63.60836640518321,0.14477459016393443,0.028450673302107727,5.85480093676815e-05,0.0,8.0,13.0,131.0,207.0,228.0,194.0,220.0,825.5517839060713,38.84292221069336,65.38028717041016,77.2337199941452,0.03462016978922717,0.004456967213114754,7.586158275604248,7.690129280090332,5.916131973266602
99479f61ef2931ea,train,99479f61ef2931ea__blur__s3,blur,3,medium,1,427.0,640.0,0.6671875,120.11712163348946,62.37321198058286,0.13467505854800937,0.02346677400468384,0.0,0.0,9.0,14.0,131.0,205.0,225.0,191.0,216.0,6.714093580277617,17.95830535888672,28.351970672607422,75.44840456674473,0.02686255854800937,0.0024407201405152227,1.0478882789611816,7.6348557472229,1.1093493700027466
99479f61ef2931ea,train,99479f61ef2931ea__motion_blur__s3,motion_blur,3,medium,1,427.0,640.0,0.6671875,120.11483094262294,62.08330133956139,0.13210626463700234,0.021172423887587822,0.0,0.0,8.0,14.0,131.0,204.0,225.0,190.0,217.0,63.608240984090216,19.357486724853516,34.35068893432617,75.23933694379392,0.025834309133489462,0.003081088992974239,2.660926580429077,7.642273902893066,1.9025309085845947
99479f61ef2931ea,train,99479f61ef2931ea__underexposure__s3,underexposure,3,medium,1,427.0,640.0,0.6671875,65.588912470726,35.00378668065395,0.3038275761124122,0.0,0.00031469555035128807,0.0,4.0,7.0,71.0,113.0,125.0,106.0,121.0,229.33445400976524,21.351625442504883,35.80941390991211,79.55635977751757,0.04104947306791569,0.005734045667447307,4.071664333343506,6.829151630401611,3.1953938007354736
99479f61ef2931ea,train,99479f61ef2931ea__overexposure__s3,overexposure,3,medium,1,427.0,640.0,0.6671875,168.83489095433256,82.60098414459276,0.12504757025761123,0.4217542447306792,1.0977751756440281e-05,0.09583577283372366,11.0,19.0,196.0,255.0,255.0,236.0,244.0,1469.623184396715,45.03663635253906,87.56304168701172,60.4841481264637,0.03456894028103045,0.2577027224824356,9.942488670349121,7.226656913757324,6.994528293609619
99479f61ef2931ea,train,99479f61ef2931ea__noise__s3,noise,3,medium,1,427.0,640.0,0.6671875,120.00465822599531,64.07053078612235,0.15066964285714285,0.03913934426229508,0.00043911007025761124,1.0977751756440281e-05,3.0,13.0,129.0,212.0,232.0,199.0,229.0,4256.3973592199745,75.23493194580078,63.219364166259766,79.78393954918033,0.05141612997658079,0.022090895784543325,13.843448638916016,7.841782569885254,14.280728340148926
99479f61ef2931ea,train,99479f61ef2931ea__compression__s3,compression,3,medium,1,427.0,640.0,0.6671875,120.13554961943794,63.52023478967231,0.14414885831381732,0.028366510538641688,3.6592505854800937e-06,0.0,8.0,13.0,131.0,207.0,228.0,194.0,220.0,615.7922096931915,38.49131393432617,64.40576171875,76.87944233021078,0.034466481264637,0.004768003512880562,6.984053134918213,7.637917995452881,5.279033184051514
a4cd7f45ac1ce27e,train,a4cd7f45ac1ce27e__clean,none,0,none,0,640.0,483.0,1.3250517598343685,68.54407026397516,45.562407561059295,0.2846596790890269,0.017161620082815736,0.003406444099378882,0.0002911490683229814,1.0,6.0,66.0,146.0,239.0,140.0,238.0,4096.928093756469,87.58139038085938,106.69055938720703,93.44701410455487,0.05206392339544513,0.1125194099378882,15.69150161743164,7.29881477355957,13.45422649383545
a4cd7f45ac1ce27e,train,a4cd7f45ac1ce27e__blur__s3,blur,3,medium,1,640.0,483.0,1.3250517598343685,68.54305447722567,39.503331693589736,0.2429574275362319,0.005580357142857143,0.0,1.6174948240165633e-05,4.0,12.0,65.0,141.0,190.0,129.0,186.0,16.231644668360314,33.338077545166016,35.884063720703125,85.1531994047619,0.0020865683229813665,0.1083495082815735,1.7203351259231567,7.195765018463135,2.1723945140838623
a4cd7f45ac1ce27e,train,a4cd7f45ac1ce27e__motion_blur__s3,motion_blur,3,medium,1,640.0,483.0,1.3250517598343685,68.54407026397516,38.89404427037953,0.24123964803312628,0.004402820910973085,3.2349896480331263e-06,3.881987577639752e-05,5.0,13.0,65.0,141.0,187.0,128.0,182.0,265.81431016152277,38.97349166870117,52.26353073120117,84.79981237060042,0.008643892339544514,0.10355848861283644,5.257206439971924,7.188210964202881,4.333276748657227
a4cd7f45ac1ce27e,train,a4cd7f45ac1ce27e__underexposure__s3,underexposure,3,medium,1,640.0,483.0,1.3250517598343685,37.23611542443064,25.053400938289176,0.5620179865424431,0.0,0.007472826086956522,0.0,1.0,3.0,36.0,80.0,132.0,77.0,131.0,1165.9575272721077,48.04065704345703,58.79256057739258,95.27539790372671,0.06196946169772257,0.11236736542443064,8.492762565612793,6.42997407913208,7.265687465667725
a4cd7f45ac1ce27e,train,a4cd7f45ac1ce27e__overexposure__s3,overexposure,3,medium,1,640.0,483.0,1.3250517598343685,99.77876876293996,60.09928421954331,0.18854166666666666,0.05056935817805383,0.002384187370600414,0.003309394409937888,2.0,9.0,98.0,216.0,251.0,207.0,249.0,6262.809935921743,118.1365966796875,135.983154296875,92.30319616977226,0.049938535196687374,0.11327316252587992,19.826513290405273,7.7745466232299805,18.085468292236328
a4cd7f45ac1ce27e,train,a4cd7f45ac1ce27e__noise__s3,noise,3,medium,1,640.0,483.0,1.3250517598343685,68.83357595755693,46.067391494634,0.290628234989648,0.01712603519668737,0.0012390010351966874,8.087474120082816e-05,2.0,7.0,65.0,148.0,235.0,141.0,233.0,7224.5583018520865,109.00517272949219,99.35526275634766,106.50347761387164,0.10281444099378882,0.06791537267080745,19.062511444091797,7.339162826538086,18.86216926574707
a4cd7f45ac1ce27e,train,a4cd7f45ac1ce27e__compression__s3,compression,3,medium,1,640.0,483.0,1.3250517598343685,68.56647256728779,45.222099572345506,0.28106237060041406,0.016935170807453416,0.0027594461697722566,0.00018115942028985507,2.0,7.0,65.0,147.0,236.0,140.0,234.0,3821.9361019142357,87.05393981933594,104.91779327392578,93.51066576086957,0.062056806418219465,0.11650815217391304,15.349346160888672,7.294612884521484,12.66944408416748
